ca,regime,famille,paquet,poids
2198700.00,1,AR,B,842.29
2198700.00,1,AR,B,842.29
659610.00,3,AR,B,842.29
1099350.00,3,AR,B,842.29
1539090.00,1,AR,B,1287.29
1813927.50,2,CO,B,624.98
1407168.00,2,CO,B,624.98
4214175.00,1,NA,B,624.98
3664500.00,3,AR,B,1287.29
25651500.00,2,CO,O,624.98
6596100.00,2,CO,A,1287.29
8794800.00,1,TR,A,643.19
6596100.00,1,TR,A,643.19
65961.00,3,AR,B,643.19
1832250.00,3,CO,B,643.19
329805.00,3,AR,B,643.19
3517920.00,3,AR,B,643.19
659610.00,3,CO,B,643.19
5130300.00,3,CO,A,1111.80
2565150.00,1,AR,B,643.19
586320.00,2,CO,B,643.19
36645000.00,3,AR,Pl,1111.80
219870.00,1,AR,B,1111.80
3429972.00,2,CO,B,704.94
1026060.00,2,CO,B,704.94
1392510.00,3,AR,B,704.94
2785020.00,3,AR,B,704.94
732900.00,2,CO,B,704.94
1172640.00,1,AR,B,704.94
2931600.00,1,AR,B,704.94
2198700.00,1,AR,B,704.94
3664500.00,1,AR,B,704.94
1905540.00,2,CO,B,704.94
3078180.00,2,CO,B,704.94
714577.50,3,CO,B,704.94
3517920.00,2,CO,B,1974.60
3664500.00,3,AR,B,1974.60
372557.50,1,NA,B,467.09
6596100.00,2,CO,A,467.09
1099350.00,1,NA,B,467.09
600978.00,3,NA,B,576.06
4661244.00,1,NA,B,576.06
2198700.00,3,CO,B,576.06
1099350.00,3,AR,B,576.06
879480.00,3,AR,B,576.06
1319220.00,3,AR,B,576.06
31148.25,3,AR,B,571.89
1758960.00,1,AR,B,571.89
1685670.00,3,AR,B,571.89
366450.00,1,AR,B,571.89
5716620.00,1,NA,A,571.89
12752460.00,2,CO,A,571.89
21987000.00,3,NA,O,1927.09
1465800.00,1,NA,B,607.10
1125001.50,1,AR,B,607.10
659610.00,3,CO,B,1322.71
4397400.00,2,CO,B,607.10
1465800.00,1,AR,B,607.10
137418.75,3,AR,B,607.10
1325327.50,1,NA,B,607.10
137418.75,3,AR,B,607.10
175896.00,3,CO,B,607.10
182492.10,2,CO,B,607.10
1465800.00,3,CO,B,1322.71
2198700.00,2,CO,B,1322.71
366450.00,3,CO,B,1322.71
403461.45,2,CO,B,607.10
4397400.00,2,CO,B,607.10
2931600.00,2,CO,B,607.10
5863200.00,3,AR,A,607.10
840392.00,2,CO,B,607.10
384772.50,3,AR,B,607.10
2495524.50,2,CO,B,607.10
1392510.00,3,AR,B,607.10
366450.00,2,CO,B,607.10
1099350.00,3,AR,B,607.10
1099350.00,3,AR,B,607.10
1905540.00,3,CO,B,607.10
1245930.00,3,AR,B,607.10
3224760.00,2,CO,B,785.96
527688.00,1,AR,B,785.96
311482.50,3,CO,B,785.96
5144958.00,2,CO,A,785.96
1282575.00,3,CO,B,785.96
3664500.00,2,CO,B,785.96
8794800.00,2,CO,A,785.96
1319220.00,1,AR,B,785.96
2931600.00,1,AR,B,785.96
13192200.00,2,CO,A,785.96
2931600.00,3,AR,B,785.96
1172640.00,1,AR,B,785.96
13192200.00,3,AR,A,1674.12
461727.00,1,NA,B,1674.12
5276880.00,2,CO,A,1674.12
311482.50,3,CO,B,498.06
1099350.00,2,CO,B,498.06
21987000.00,3,AR,O,498.06
21987.00,3,AR,B,498.06
36645.00,3,CO,B,498.06
2198700.00,1,NA,B,498.06
1467265.80,1,NA,B,498.06
26384400.00,2,CO,O,498.06
38110800.00,3,CO,Pl,856.97
1215392.50,3,CO,B,856.97
1172640.00,2,CO,B,848.98
2550492.00,3,AR,B,848.98
3078180.00,1,AR,B,848.98
4104240.00,3,CO,B,848.98
1685670.00,3,AR,B,848.98
3078180.00,3,AR,B,848.98
439740.00,3,AR,B,848.98
659610.00,2,CO,B,848.98
7138446.00,2,CO,A,848.98
1160425.00,3,CO,B,848.98
684040.00,3,NA,B,848.98
384772.50,3,CO,B,848.98
769545.00,1,AR,B,848.98
2198700.00,3,CO,B,2988.65
23452800.00,2,CO,O,790.08
1319220.00,3,AR,B,790.08
439740.00,1,AR,B,790.08
762216.00,1,NA,B,790.08
1465800.00,1,AR,B,790.08
5936490.00,3,AR,A,790.08
2473537.50,1,NA,B,790.08
35912100.00,3,CO,Pl,790.08
378909.30,3,NA,B,790.08
1343650.00,3,CO,B,790.08
989415.00,3,AR,B,790.08
4543980.00,2,CO,B,790.08
2609124.00,2,CO,B,847.56
1539090.00,2,CO,B,847.56
762216.00,2,CO,B,847.56
2198700.00,1,NA,B,847.56
615636.00,3,NA,B,847.56
2198700.00,3,NA,B,864.93
8733725.00,2,CO,A,864.93
16123800.00,2,CO,O,864.93
2345280.00,2,CO,B,864.93
580212.50,2,CO,B,864.93
1374187.50,3,AR,B,864.93
1905540.00,3,CO,B,864.93
1319220.00,1,NA,B,864.93
27117300.00,3,AR,O,864.93
1074920.00,3,CO,B,770.93
10260600.00,2,CO,A,770.93
439740.00,3,CO,B,770.93
305375.00,3,CO,B,770.93
1172640.00,3,CO,B,770.93
1984937.50,1,AR,B,770.93
1539090.00,3,AR,B,770.93
1172640.00,1,AR,B,770.93
212541.00,3,CO,B,770.93
470277.50,3,AR,B,770.93
466613.00,3,AR,B,868.13
513030.00,1,NA,B,868.13
571662.00,1,AR,B,868.13
989415.00,1,NA,B,868.13
175896.00,3,CO,B,868.13
3869712.00,2,CO,B,868.13
329805.00,3,AR,B,868.13
762216.00,2,CO,B,748.85
659610.00,1,AR,B,748.85
1099350.00,1,AR,B,748.85
1948292.50,1,AR,B,748.85
146580.00,3,NA,B,748.85
538681.50,1,AR,B,748.85
732900.00,3,AR,B,748.85
1392510.00,1,AR,B,748.85
2038439.20,2,CO,B,748.85
6596100.00,2,CO,A,748.85
1319220.00,3,AR,B,748.85
2931600.00,3,CO,B,748.85
2198700.00,2,CO,B,748.85
58632.00,3,AR,B,748.85
2015475.00,1,TR,B,748.85
644952.00,3,AR,B,748.85
1319220.00,2,CO,B,2308.85
2931600.00,3,AR,B,2308.85
2638440.00,3,AR,B,786.84
1209285.00,3,AR,B,786.84
1436484.00,3,CO,B,786.84
1539090.00,3,AR,B,786.84
1357086.50,3,AR,B,786.84
11196879.75,3,AR,A,786.84
3078180.00,3,CO,B,786.84
1978830.00,2,CO,B,786.84
5221912.50,3,AR,A,786.84
3726796.50,3,CO,B,786.84
445847.50,3,NA,B,786.84
3078180.00,2,CO,B,786.84
2931600.00,2,CO,B,786.84
259568.75,1,AR,B,1166.38
1172640.00,3,AR,B,1166.38
24552.15,3,AR,B,1166.38
8721510.00,2,CO,A,1166.38
4397400.00,1,AR,B,1166.38
5863200.00,1,NA,A,1166.38
879480.00,1,NA,B,1166.38
21987.00,1,AR,B,1166.38
2540720.00,3,CO,B,179.30
158795.00,3,AR,B,179.30
73290.00,3,CO,B,179.30
219870.00,3,CO,B,179.30
10260600.00,2,CO,A,179.30
3298050.00,2,CO,B,179.30
2765476.00,3,AR,B,179.30
1172640.00,2,CO,B,179.30
6107500.00,2,CO,A,179.30
586320.00,3,AR,B,179.30
82451.25,2,CO,B,179.30
557004.00,3,AR,B,179.30
